Name of the Programme,Duration,Seats,Eligibility,Fees (Rs.) Annual,Admission Process
B.Tech. in Computer Science and Engineering (AICTE Approved),4 Years,180* + EWS,"Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM","1,15,200",Through CSJM University B.Tech Admission Portal based on JEE Mains Rank
B.Tech. in Computer Science And Engineering (Artificial Intelligence) (AICTE Approved),4 Years,60 + EWS,"Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM","1,15,200",Through CSJM University B.Tech Admission Portal based on JEE Mains Rank
B.Tech. in Electronics and Communication Engineering (AICTE Approved),4 Years,90* + EWS,"Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM","90,200",Through CSJM University B.Tech Admission Portal based on JEE Mains Rank
B.Tech. in Chemical Engineering (AICTE Approved),4 Years,90* + EWS,"Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM","90,200",Through CSJM University B.Tech Admission Portal based on JEE Mains Rank
B.Tech. in Mechanical Engineering (AICTE Approved),4 Years,90* + EWS,"Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM","90,200",Through CSJM University B.Tech Admission Portal based on JEE Mains Rank
B.Tech in Materials Science and Metallurgical Engineering (AICTE Approved),4 Years,60* + EWS,"Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM","90,200",Through CSJM University B.Tech Admission Portal based on JEE Mains Rank
B.Tech. in Chemical Engineering (Lateral Entry) (AICTE Approved),3 Years,As per AICTE norms,Passed 3-year Diploma from Institution recognized by UPBTE in any branch of Engg / 3-year BSc with Mathematics as a subject in 10+2,"90,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
B.Tech. in Electronics and Communication Engineering (Lateral Entry) (AICTE Approved),3 Years,As per AICTE Norms,Passed 3-year Diploma from Institution recognized by UPBTE in any branch of Engg / 3-year BSc with Mathematics as a subject in 10+2,"90,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
B.Tech. in Mechanical Engineering (Lateral Entry) (AICTE Approved),3 Years,As per AICTE Norms,Passed 3-year Diploma from Institution recognized by UPBTE in any branch of Engg / 3-year BSc with Mathematics as a subject in 10+2,"90,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
B.Tech. in Materials Science and Metallurgical Engineering (Lateral Entry) (AICTE Approved),3 Years,As per AICTE norms,Passed 3-year Diploma from Institution recognized by UPBTE in any branch of Engg / 3-year BSc with Mathematics as a subject in 10+2,"90,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
M.Tech. in Computer Science and Engineering (AICTE Approved),2 Years,30 + EWS,"B.Tech./B.E. in CSE/CS/IT/CS & Tech/MCA (with BCA/BSc in Phy, Maths/Statistics/Info Tech/Information Science) or MSc in Computer Sc./IT/Statistics with BSc in Phy, Maths/Statistics/CS/IT/Info Sc.","70,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
M.Tech. in Electronics and Communication Engineering (AICTE Approved),2 Years,30 + EWS,"B.Tech./B.E. in Electronics Engg, E&C Engg, E&E Engg, E&I Engg, E&Telecom Engg / M.Sc. in Electronics or Physics (specialization in Electronics). GATE/NET qualified students shall be preferred.","70,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
M.Tech in NanoScience and NanoTechnology,2 Years,20 + EWS,"B.Tech./B.E./ M.Sc. (Physics/Chemistry/Materials Science) or Equivalent Professional degree (AMIE, etc.)","55,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
Bachelor in Computer Application (BCA) (AICTE Approved),3 Years,360* + EWS,Passed 10+2 with Mathematics from a recognized board,"55,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
Master of Computer Application (MCA) (AICTE Approved),2 Years,120* + EWS,Relevant undergraduate programme from a recognized University. Must have passed Mathematics at 10+2 level or graduation level,"70,200",Through Screening Test conducted by department
Integrated MSc Electronics (Specialization in VLSI & IoT System),5 Years (3+2),30 + EWS,Passed 10+2 with Physics and Maths as compulsory subjects and min 45% marks for first year entry and B.Sc. (PCM) for fourth-year entry.,"30,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
B.Voc (Interior Design) (AICTE Approved),3 Years,40 + EWS,Passed 10+2 from a recognized board or its equivalent in any stream or 10+3 Diploma,"31,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
Bachelor of Design (B.Des.) (AICTE Approved),4 Years,30 + EWS,10+2 from a recognized board in any stream with minimum 45% marks / B.Voc in the same or allied sector,"55,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
Diploma in Chemical Engineering (AICTE Approved),3 Years,30 + EWS,10th or equivalent from a recognized board with Science and Maths as compulsory subjects,"45,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
